name,partisan_score,hashtags
Suzanne Bonamici,0,{'omnibus'}
Suzanne Bonamici,0,"{'omnibus', 'CTE', 'teacher', 'MoreTitleIV', 'apprenticeships'}"
Will Hurd,1,"{'Cloud', 'CHLITechTalk'}"
Suzanne Bonamici,0,{'veterans'}
Suzanne Bonamici,0,"{'DickeyAmendment', 'gunviolence', 'publichealth'}"
Suzanne Bonamici,0,{'Omnibus'}
Suzanne Bonamici,0,{'PellGrants'}
Suzanne Bonamici,0,{'SecureRuralSchools'}
Suzanne Bonamici,0,{'wildfires'}
Suzanne Bonamici,0,{'Omnibus'}
Suzanne Bonamici,0,"{'Dreamers', 'DreamActNow'}"
Robin Kelly,0,{'TrumpBudget'}
Markwayne Mullin,1,{'SubHealth'}
Joaquin Castro,0,{'WorldWaterDay'}
Hakeem Jeffries,0,{'ABetterDeal'}
Steve King,1,{'McMaster'}
Steve Cohen,0,"{'Mueller', 'MuellerInvestigation', 'MuellerProbe'}"
Steve Cohen,0,"{'karenMcDougal', 'CNN', 'Trump', 'StormyDaniels'}"
Thomas Massie,1,{'sassywithmassie'}
Justin Amash,1,{'omnibus'}
James E. Clyburn,0,"{'ACAworks', 'ACA'}"
Tom Emmer,1,"{'tcnt', 'RightToTry'}"
Mike Quigley,0,{'SCOTUS'}
Robin Kelly,0,{'DACA'}
Sheila Jackson Lee,0,"{'daca', 'DACADreamers', 'uneteafiel'}"
Sheila Jackson Lee,0,"{'DACADreamers', 'uneteafiel'}"
Sheila Jackson Lee,0,"{'muslimyouthusa', 'isgh', 'mj_khan'}"
Bobby L. Rush,0,{'DACA'}
Michael McCaul,1,{'Iran'}
Rosa DeLauro,0,"{'ProtectOurCare', 'Medicare'}"
Rosa DeLauro,0,{'ProtectOurCare'}
Mike Quigley,0,"{'omnibus', 'GreatLakes', 'Chicago', 'AsianCarp', 'LakeMichigan'}"
Richard Hudson,1,{'NC08'}
Joyce Beatty,0,{'ProtectOurCare'}
Lloyd Doggett,0,{'ACA'}
Donald Norcross,0,"{'DACA', 'ACA', 'TaxScam'}"
Jeff Fortenberry,1,{'conservation'}
Louie Gohmert,1,{'omnibus'}
Seth Moulton,0,{'TrumpCare'}
Jackie Speier,0,{'STARAct'}
Justin Amash,1,{'omnibus'}
Alcee L. Hastings,0,{'ProtectOurcare'}
Alcee L. Hastings,0,{'ProtectOurCare'}
Alcee L. Hastings,0,"{'ProtectOurCare', 'ACA'}"
Tom Reed,1,{'NewYork'}
Mark Takano,0,{'ProtectOurCare'}
Alcee L. Hastings,0,{'ProtectOurCare'}
Rob Woodall,1,{'TaxCutsForAmerica'}
Sheila Jackson Lee,0,{'Austin'}
André Carson,0,{'Indy'}
Lloyd Doggett,0,"{'DREAMAct', 'DACA', 'ProtectDREAMers'}"
Grace Meng,0,{'Spoofing'}
Grace Meng,0,"{'spoofing', 'omnibus'}"
Steve King,1,{'breakingnews'}
Hakeem Jeffries,0,{'Enough'}
Thomas Massie,1,{'omnibus'}
Nancy Pelosi,0,{'ProtectTransTroops'}
Sean Patrick Maloney,0,{'Transgender'}
Sheila Jackson Lee,0,{'ProtectTransTroops'}
Mark Takano,0,"{'ProtectTransTroops', 'TransMilitaryBan'}"
Thomas Massie,1,"{'sassywithmassie', 'GOP', 'omnibus'}"
Jackie Speier,0,{'trans'}
Jackie Speier,0,{'transgender'}
Sheila Jackson Lee,0,"{'ktmd', 'kriv', 'khou11', 'ktrk', 'Marchforlives', 'kprc2', 'kiah', 'kxln'}"
Joaquin Castro,0,"{'TB', 'WorldTBDay2018'}"
Sean Patrick Maloney,0,{'MarchforOurLives'}
Lloyd Doggett,0,{'MarchForOurLives'}
Mark Takano,0,{'NeverAgain'}
Richard Hudson,1,{'Vets'}
Judy Chu,0,"{'EndGunViolence', 'NeverAgain'}"
Seth Moulton,0,{'MarchForOurLives'}
Seth Moulton,0,{'VetsForGunReform'}
Dina Titus,0,{'Nevada'}
Mike Quigley,0,{'omnibus'}
Joaquin Castro,0,"{'omnibusbill', 'DACA'}"
John Garamendi,0,{'MarchForOurLives'}
Brenda Lawrence,0,"{'EndGunViolence', 'NeverAgain'}"
Sheila Jackson Lee,0,{'MarchForOurLives'}
Justin Amash,1,"{'GoBlue', 'FinalFour'}"
Dina Titus,0,{'EnoughIsEnough'}
Thomas Massie,1,{'sassywithmassie'}
Tom Emmer,1,{'PalmSunday'}
André Carson,0,{'RussiaInvestigation'}
Sheila Jackson Lee,0,"{'ikneel', 'H', 'enoughisenough'}"
Hakeem Jeffries,0,"{'HolyWeek', 'MassIncarceration'}"
Sheila Jackson Lee,0,{'Nowruz'}
Louie Gohmert,1,{'Omnibus'}
Scott DesJarlais,1,{'KnowYourMil'}
Albio Sires,0,"{'MarchForOurLives', 'EnoughIsEnough'}"
Kevin McCarthy,1,"{'Infrastructure', 'WorkforceDevelopment'}"
Joaquin Castro,0,{'Asia'}
John Garamendi,0,{'MarchforOurLives'}
Joe Wilson,1,"{'SouthCarolina', 'FOSTA', 'SESTA'}"
Lloyd Doggett,0,{'AustinBombings'}
Ruben Gallego,0,"{'ICYMI', 'TransMilitaryBan'}"
Mo Brooks,1,"{'Huntsville', 'Alabama', 'PTENpatientsymposium2018'}"
Mo Brooks,1,{'PTENpatientsymposium2018'}
Adam Kinzinger,1,{'EUCO'}
Brian Higgins,0,{'Skyway'}
Brian Higgins,0,"{'oralparity', 'HR1409'}"
Joe Wilson,1,{'TaxCutsandJobsAct'}
Joe Wilson,1,{'Aiken'}
John Garamendi,0,"{'MTPDaily', 'IfItsMonday'}"
Adam Kinzinger,1,{'VolunteerOfTheWeek'}
John Garamendi,0,{'MTPDaily'}
Joaquin Castro,0,{'Immigration'}
Jim Cooper,0,{'GoVoteTN'}
Grace Meng,0,{'2020Census'}
Grace Meng,0,{'2020census'}
Dina Titus,0,{'Mongolia'}
Joaquin Castro,0,"{'Seattle', 'Russia', 'Russian'}"
Louie Gohmert,1,{'OmnibusBill'}
José E. Serrano,0,{'TheBronx'}
José E. Serrano,0,{'AppropriationsCommittee'}
Kathleen Rice,0,{'2020census'}
Sean Patrick Maloney,0,{'2020census'}
José E. Serrano,0,{'2020Census'}
Tom Emmer,1,{'NACSInStore'}
Suzanne Bonamici,0,{'2020census'}
Adam Kinzinger,1,"{'cherryblossom', 'OnThisDay'}"
Mike Rogers,1,"{'taxreform', 'CleburneCo', 'AL03'}"
Denny Heck,0,{'2020census'}
Brenda Lawrence,0,"{'BHM', 'WHM2018'}"
Brenda Lawrence,0,{'Census'}
Jeff Fortenberry,1,{'Norfolk'}
Susan W. Brooks,1,{'opioidcrisis'}
Joaquin Castro,0,{'Mueller'}
Sheila Jackson Lee,0,{'2020Census'}
José E. Serrano,0,"{'PuertoRico', 'Texas'}"
Joe Wilson,1,{'FamilyCaregiversAct'}
Seth Moulton,0,"{'Lynn', 'WilmingtonMA'}"
Denny Heck,0,{'IAmLakewood'}
James E. Clyburn,0,{'BrownvBoardofEducation'}
Jackie Speier,0,{'Census'}
Sheila Jackson Lee,0,"{'MSD', 'enoughisenough'}"
Judy Chu,0,{'CAPAC'}
Donald Norcross,0,{'BetsyDeVos'}
Donald Norcross,0,{'BetsyDeVos'}
Tom Emmer,1,{'TaxReformWorks'}
Richard Hudson,1,{'militaryfamilies'}
Steve Cohen,0,"{'ImpeachTrump', 'Memphis', 'RussianCollusion', 'Putin', 'GunReform', 'Trump', 'MuellerInvestigation', 'TrumpRussia'}"
Steve Cohen,0,"{'TrumpCorruption', 'TrumpLiesMatter'}"
Richard Hudson,1,{'NC08'}
